Unnamed: 0,result
0,"Cover chicken with water in a large pot. Cook 1 hour and remove chicken. Meanwhile, prepare remaining ingredients, and add to pot after removing chicken, and cook for 1 hour. Meanwhile, place chicken in baking dish and roast it in a 350 f oven for 30 minutes. After roasting, let chicken cool for 10 minutes before removing meat from the carcass and adding the meat to the soup pot. Simmer until the meat is heated through, and serve."
1,"Preheat oven to 350f. Prepare the caramel apple bake according to package directions. Pour batter into a greased 9x13 pan. Melt butter in a small saucepan, add sugar and pecans then cook over medium heat, stirring frequently until all the sugar dissolves. Drizzle the caramel mixture over brownie batter and bake until a toothpick can be inserted and withdrawn cleanly, about 25-30 minutes."
2,Combine all the ingredients except the lobster tails and whisk together. Pour into a re-sealable bag or a covered glass dish. Add the lobster tails and whisk together. Pour into a re-sealable bag or a covered
5,"Heat oven to 425f. Grease 12 muffin cups. Combine turkey, apple, onion, oats, mustard, rosemary, poultry seasoning and salt in large bowl. Press into prepared muffin cups and bake 20 minutes or until lightly browned and no longer pink in center. Top with cranberry sauce."
6,"In a stock pot, place chicken parts, onion, carrot, celery ribs, garlic cloves, parsley, whole cloves, dried thyme, salt and pepper, long grain white rice. Cover with water. Boil for thirty to forty minutes, remove chicken from pot. Allow chicken to cool remove skin and bones, then chop chicken into bite-size pieces. Add chicken back to soup, add parsley, pasta, salt and pepper. Allow to simmer until noodles are cooked. You may need to add water to keep soup soupy after pasta has cooked. Use your own judgment."
7,"Heat oil in a large skillet over medium-high heat. Add corn, egg yolks, flour, sugar, salt and pepper in a large bowl. Beat egg whites with an electric mixer set at high speed until stiff peaks form, about 2 minutes. Stir egg whites into corn mixture. Heat oil in a large skillet over medium-high heat. Drop heaping tablespoonfuls of corn batter into skillet. Reduce heat to medium. Cook until nuggets are browned, about 3 minutes per side."
8,"Preheat oven to 400f. Prepare filling by mixing refried beans, chilies, cumin and garlic together in a bowl. Spoon approximately 4 ounces bean filling into the center of each tortilla and top with about one tablespoon of cheese. Fold in ends and then sides. Place burritos seam side down on baking sheets that have been sprayed with vegetable oil spray. Bake for 2025 minutes until golden brown."
10,"Combine tart cherry pulp, sugar, butter, almond extract, brandy, and lemon juice in a large saucepan. Bring to a boil, stirring constantly, until the pulp and sugar dissolves. Remove from heat and let stand 5 minutes. Skim off any foam. Ladle into hot jars. Clean the rims, seal, and process in hot water bath for 10 minutes."
11,"Preheat oven to 400, grease 2 quart casserole dish. In prepared casserole dish, place chicken, broccoli and cheese. In a separate mixing bowl, blend baking mix, milk, eggs, salt and pepper on high speed until well mixed. Pour into dish over chicken, broccoli and cheese. Bake for 35-40 minutes until knife inserted in center comes out clean. Let cool 5 minutes before serving."
12,"Melt butter in a saucepan. Add mushrooms, onion and garlic. Saute until golden, about 5 minutes. Stir in broth, tomato paste and black pepper. Bring to the boiling point. Reduce heat and simmer, covered, for 10 minutes. Blend cornstarch with water. Mix some of the hot mushroom sauce into cornstarch mixture and return to saucepan. Cook and stir until golden brown and butter has been absorbed. Add lemon mixture to mushrooms, stirring until sauce is absorbed."
