steps,ingredients,name,id
Cook pasta according to directions on package. Remove from heat. Drain pasta and toss with sausage mixture.,"bow tie pasta, olive oil, polska kielbasa, red pepper flakes, diced onion, garlic cloves, plum tomatoes, heavy cream, salt, fresh parsley",bow ties with sausage tomato and cream,73450
Place pork chops in casserole dish. Cover with aluminum foil. Bake in preheated 350f oven for one hour and thirty minutes.,"pork chops, egg, plain breadcrumbs, dry onion soup mix",onion baked pork chops,194993
Place romanian bean soup in crockpot. Add water and stir well. Cook on low for 5 hours. Sprinkle each bowl with parmesan cheese and serve.,"dried lima beans, cold water, onion, carrot, garlic cloves, vegetable bouillon cube, butter, kosher salt, fresh ground black pepper",vegetarian crock pot romanian bean soup,19896
"Preheat oven to 175c. Bake for 35-40 minutes, or until cheese is puffed and slightly brown.","canadian bacon, eggs, mayonnaise, white pepper, parmesan cheese, brie cheese, dried italian herb seasoning",brie and canadian bacon quiche,44811
"In a small bowl, combine fish fillets, shallots, garlic cloves, fish sauce, coriander, lemon, juice of, cajun spices, plain flour, salt and pepper. In another small bowl, combine fish fillets, shallots, garlic cloves, fish sauce, coriander, lemon, juice of, cajun spices, plain flour, salt and pepper. In another small bowl, combine fish fillets, shallots, garlic cloves, fish sauce, coriander, lemon, juice","fish fillets, shallots, garlic cloves, fish sauce, coriander, lemon, juice of, cajun spices, plain flour",cajun fish patties,259379
"Heat olive oil, garlic, carrot, green cabbage, celery, okra, mushrooms, pickled whole baby corn, firm tofu, hot spiced white vinegar. Cook 1 minute more- serve hot.","canola oil, garlic, carrot, green cabbage, celery, okra, mushrooms, pickled whole baby corn, firm tofu, hot spiced white vinegar",drstevers filipino stir fry,109823
"Heat oil in a large nonstick skillet over medium heat. Add asparagus and cook, stirring, until just tender, 3 to 5 minutes. Add asparagus and cook,","blanched slivered almond, fresh asparagus, butter, salt",asparagus amandine,82923
"Preheat oven to 400 degrees f. In medium saucepan, combine eggs, sugar, cinnamon, zest, ground ginger, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust, sugar, orange zest, ground cardamom,","eggs, sugar, orange zest, ground ginger, ground cardamom, orange juice, unsalted butter, heavy cream, graham cracker crumb crust",orange and spice pie,61341
Preheat oven to 350 degrees. Place all ingredients in a medium casserole dish. Place all ingredients in a medium,"rotini pasta, mixed vegetables, broccoli cheese soup, cream cheese, milk, parmesan cheese, dijon mustard, pepper",vegetable rotini,19162
"Preheat oven to 350 degrees. Place asparagus in a roasting pan. Drizzle butter mixture over roasted asparagus, toss well to coat. Stir in lemon juice. Drizzle lemon zest over asparagus.","lobster tails, snow peas, asparagus spears, butter, green onions, lemon zest, lemon juice, pine nuts",lobster and asparagus with lemon butter sauce,140275
