,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"In a large skillet over medium heat, cook the sausage and jalapenos, breaking up the meat and cooking until it is no longer pink. Drain the fat. Add the cornbread. Fold in the pumpkin, broth, cranberries, and sage. For drier stuffing, omit the broth."
2,"Preheat oven to 400 degrees. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Place all ingredients in a food processor and blend until very smooth. Chill at least a few hours before tasting. Can serve with chips, crackers, or as a veggie dip. Keeps well in fridge. Cooking time listed is for chilling time."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Heat the butter in a large pan over low heat. Add sliced onions and cook until soft, translucent and lightly browned, stirring often. Add the sugar and continue stirring until the onions are deep brown in colour. This may take around 20 minutes. Add flour and cook for 3 minutes. Add water and bonox and simmer for 30 minutes. Top each slice of the baguette with a tablespoon of parmesan cheese. Toast baguette under a hot grill until golden brown. Serve baguette on top of the soup, and sprinkle with chopped parsley."
6,"Preheat oven to 350 degrees f. In a large bowl combine first seven ingredients, stir well. Lightly spray pam in a medium size casserole dish and pour in goldfish crackers. Place slices of bacon over top of bacon. Cover and bake 30 minutes. Uncover and bake extra 15 minutes."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375 degrees. In a large mixing bowl, beat butter, brown sugar, sugar, eggs, vanilla, flour, baking soda, salt, water, semi-sweet chocolate chips. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a medium saucepan, combine first 5 ingredients and simmer over medium heat for 10-15 minutes until berries pop, stirring often. Reduce heat to medium low, stir in marmalade and cook for 5 more minutes. Set aside to cool, stirring occasionally."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the almonds and cook, stirring constantly, until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"In a large skillet, melt butter over medium heat. Add eggs, milk, cheddar cheese, green onions, salt, pepper, jalapeno. Heat a skillet over low-medium heat. Melt butter. Then add eggs, milk, cheddar cheese, green onions, salt, pepper, jalapeno. Then add eggs,"
12,"Preheat oven to 350 degrees. In a small bowl, mix together strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Place pork in medium baking dish. Glaze pork with strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Glaze pork with strawberries, ginger ale, milk, sugar, lemon juice,"
13,"Preheat oven to 450 degrees. If frozen, partially thaw fillets and cut into serving size pieces. Place salmon on a broiler pan coated with cooking spray. Broil for 8 minute or until salmon flakes easily when tested with a fork."
14,"In a large glass bowl whisk together oil, honey, soy sauce, barbecue sauce and black pepper until well combined. Add in garlic pieces and green onion. Add in the chicken strips and toss with the marinade to combine well. Cover and refrigerate for a minimum of 8-24 hours. Remove the chicken strips and discard the marinade. Thread chicken strips on the wooden skewers piercing at least 3 times through the skewers. Grill over medium heat."
15,"Preheat oven to 400 degrees f. In a food processor, combine the butter, cheese and butter. Process until the mixture is smooth. Add the scallions and pulse until combined. Season with salt and pepper, to taste. Spread the butter mixture on the cut sides of the bread. Place on a baking sheet and bake for 10 to 12 minutes until golden. Remove from oven and serve immediately."
16,"Preheat oven to 375 degrees f. Place marinated pork in a roasting pan, and bake in preheated oven for 35 to 40 minutes, or until meat thermometer reads 160 degrees f, basting meat often with marinade."
17,"Preheat oven to 425 degrees fahrenheit. Spread bottom crust in a 9 inch pie pan. Spread berry mixture in pie shell. Sprinkle cinnamon on top. Dot butter on top. Put top crust on and seal edges. Poke several vent holes in top crust. Bake at 425 degrees fahrenheit for 10 minutes. Turn oven down to 350 degrees fahrenheit, leaving pie in oven, and bake for 30 minutes longer."
18,"Adjust rack to middle position and heat broiler. You may also use a toaster oven. Break the crackers in half to form squares and place on a baking sheet. Arrange 4 marshmallow halves on top of each square. Broil for 30-60 seconds or until golden brown. Remove from oven. Break chocolate bar into 12 pieces. Arrange the chocolate and raspberries on one half of the crackers. Invert remaining marshmallow topped crackers onto the raspberry and chocolate topped crackers, pressing gently to for a cookies sandwich."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"In a large saucepan, stir together the liqueur and brandy. Add water. Bring to a boil, stirring constantly. Allow to boil for two minutes, still stirring. Add orange sections about 5 at a time, blending a little as you go. Add the other ingredients in whatever order and blend until smooth. Taste. Add more liqueur or brandy if necessary. I use small to medium size seedless, sweet oranges."
21,"Preheat oven to 350 degrees fahrenheit. Grease 8x8x2-inch baking pan. In large bowl beat butter and sugar until fluffy. Beat in eggs, one at a time. Beat in chocolate, then flour. Stir in walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
22,"Mix all the cake ingredients together with a spoon. Bake in a greased 9 x13 inch pan for 35 to 40 minutes at 350 degrees fahrenheit. While the cake bakes make the topping. Bring margarine, sugar and evaporated milk to a boil. Stirring occasionally. Boil for 5 minutes. Remove from heat. Stir in coconut and nuts. Pour this mixture over the cake as soon as it comes from the oven."
23,"Preheat oven to 350 degrees. In a large bowl, beat the margarine, white and brown sugars together until fluffy. Add eggs and vanilla, beat well. In another bowl, sift flour, baking powder, and salt. Add to the creamed mixture, stirring well. Fold in butter brickle bits, and chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
24,"Combine all ingredients in a large mixing bowl. Mix well. Pour dressing over salad mixture, stirring well. Cover and refrigerate 8 hours or overnight."
25,"In a small saucepan, bring the water and sugar to a boil in a medium-sized saucepan. Cook for 5 minutes, until sugar is dissolved. Add the lemon zest. Allow mixture to cool to lukewarm. Pour into a glass jar and store in the refrigerator. For the lemonade, combine the lemon juice, salt, syrup, and ice water in tall pitcher. Stir well and pour into tall, ice filled glasses."
26,"Heat oven to 425 degrees. Prepare pastry. In a large mixing bowl, add the blackberries and sugar & cinnamon. Toss to coat. Next add the cornstarch & lightly mix. Place filling into pastry lined pie pan. Sprinkle lemon juice over filling & dot with butter. Cover the filling with the top pie crust. Trim the excess crust off around the pie and seal. Cut slits in top of pie crust. Bake 50-60 minutes or until crust is golden brown & juice begins to bubble through the slits in crust. Cool completely before slicing."
27,"Place your prepared mango in a serving dish. In a pot add the mangoes, chilies, and ginger. Add the lemon rind and juice, and stir in the water. Bring to a boil, and boil for 10 minutes or until a thick consistency is reached. Stir in the sultanas and balsamic. Cook for an additional 5 minutes. Let cool slightly, and pour into warm sterilized jars. Seal according to manufacturers directions."
28,"Preheat oven to 325f. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on wire rack."
29,Preheat oven to 400f. Grease muffin tins. Place all dry ingredients in a mixing bowl and mix up with an electric mixer. Add the liquids and mix smooth. Place 2 tablespoons of batter in the bottom of each of the greased muffin cups. Add 1 tablespoon of crunchy style red pepper. Add the remaining bit of batter and bake for approx. 25 minutes or until a tooth pick comes out clean.
30,"To prepare each sandwich, spread 1 teaspoon of the olive oil on one side of each slice of bread. Place 2 slices cheese, three to four spinach leaves and 1 tablespoon cooked bacon between unbuttered sides of two bread slices. Place one sandwich in a large frypan or on a griddle. Cook over medium high heat for 3 to 4 minutes on eaach side or till the cheese is melted and the bread is golden brown. If necessary to prevent overbrowning, reduce to medium or brush on extra margarine, butter or olive oil. Repeat for remaining sandwiches."
31,"Preheat oven to 200c. Sprinkle olive oil over the base of the baking dish. Lay cutlets in the dish, rubbing them with the oil. Cover cutlets with crushed garlic, mustard and rosemary, then season with the salt and pepper. Place in the oven and cook for 25-30 minutes, turning once, until the cutlets ar browned and crispy. If desired, serve on a bed of couscous with your favourite steamed vegetables."
32,"Preheat oven to 450 degrees f. Heat 2 large roasting pans in the oven for 5 minutes. Meanwhile, in a large bowl, toss the zucchini with the olive oil and crushed red pepper. Season generously with salt and pepper. Spread the zucchini on the hot pans and roast for 30 minutes without stirring, until the rounds are tender and their bottom are golden. Transfer to a platter, garnish with mint and serve."
33,"Combine the mustard, mayonnaise, stone ground mustard, prepared mustard, garlic powder, dill weed in a saucepan and whisk to mix. Bring to a simmer over low heat and cook gently, uncovered, until richly flaovred, about 5 minutes, whisking from time to time. Remove from heat and season to taste with salt and pepper. Transfer to a serving bowl and serve warm or at room temperature. The glaze will keep, tightly covered in the refrigerator, for several weeks."
34,"Place bacon in a large skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside. Bring a large pot of lightly salted water to a boil. Cook tortellini in boiling water for 8 to 10 minutes or until al dente. Drain, and rinse under cold water. In a small bowl, mix together mayonnaise, sugar and vinegar to make the dressing. In a large bowl, combine broccoli, tortellini, bacon, raisins, sunflower seeds and red onion. Pour dressing over salad, and toss."
35,"Preheat oven to 350 degrees. Place eggs in a large skillet over medium heat. When hot, add 4 teaspoons of oil to pan and swirl to coat. Place eggs in carefully and cook until the white has become solid, about 1 to 2 minutes. Sprinkle the eggs with salt, pepper, and about a tablespoon of cheese for each egg. Swirl the remaining olive oil on the top of the cheese. Serve immediately."
36,"In a large wok or nonstick frying pan, heat oil over medium-high heat. Add garlic and ginger and cook, stirring, until fragrant, about 30 seconds. Add scallops and stir to coat with garlic mixture, then cook 1 minute. Mix in snow peas and cook 1 minute. Stir in broth and soy sauce and cook just until simmering. Sprinkle with green onions and mix with noodles."
37,"Preheat oven to 350f. In a large bowl sift together flour and baking soda, set aside. In a large bowl, combine butter and both sugars. Beat on medium speed until light and fluffy, about 3 minutes. Reduce speed to low, add salt, vanilla, and eggs. Beat until well mixed, about 1 minute. Add flour mixture, mix until just combined. Stir in chocolate chips. Drop heaping spoonfuls about 2 inches apart onto baking trays lined with parchment paper. Bake until golden around the edges and soft in the middle, about 8-10 minutes."
38,"Preheat oven to 325 degrees. Beat cream cheese in bowl with electric mixer on medium, until creamy. Add sugar and beat until well blended. Add sour cream, lemon juice and lemon peel. Mix well. Add eggs, 1 at a time, mixing on low speed after each addition just until blended. Pour batter into pie shell. Bake at 325 degrees for 35- 40 minutes or until center is almost set. Cool completely on wire rack. Refrigerate 4 hours or overnight."
39,"In a large saucepan, bring broth and water to boil. Add orzo. Cook, uncovered, over medium heat 4-6 minutes or until pasta and asparagus are tender, stirring frequently. Drain. Stir in parmesan cheese and caesar dressing."
40,"Combine the coleslaw mix and onion in a large bowl. Whisk together the mustard, white vinegar, and salt in a medium bowl. Blend thoroughly. Pour dressing mixture over coleslaw mix and toss to coat. Chill at least 2 hours before serving."
