,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"Preheat oven to 350f. Saute onion and mushroom stems in bacon fat until tender. Drain off excess fat. Mix crumbled bacon, onion and stems with softened cream cheese until the mixture is workable. Stuff each mushroom and bake for 10-15 minutes. Finish under the broiler just until tops are golden."
2,"Preheat oven to 400 degrees f. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Carefully pour the chicken broth over all. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 425. Spread the vegetables in a single layer in one or more large shallow roasting pans. Do not crowd them or they will not brown. Drizzle with the oil and sprinkle with salt and pepper to taste. Stir well. Roast the vegetables, stirring once or twice, for 45 minutes. Pierce each sausage in two or three places with a fork. Place the sausages on top of the vegetables. Bake for 15 to 30 minutes, or until the sausages and vegetables are cooked through. Serve hot."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"Preheat oven to 350 degrees. Place chicken in glass baking dish. In a small bowl combine soy sauce, vinegar, brown sugar, garlic powder, black pepper. Stir or whisk until well blended. Pour sauce mixture over chicken. Bake chicken with sauce mixture for about 20 - 30 minutes or until chicken is cooked through. For best results turn chicken over half way through cooking."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a 2-quart pitcher combine grapefruit, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, ice. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of maraschino cherries and a strip of maraschino cherries into a knot and use as a garnish. Serve at once."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the cinnamon and salt and cook until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"Toast 6 thick slices of cheese in a 300 degree oven until crisp. Blend the cheddar cheese with a couple tablespoons of butter, then spread on the toast. When ready to serve the soup, pop one of these on top of each serving bowl and sprinkle with lots of cheddar cheese. Melt butter in a large saucepan over low heat. Add onions, cover, and cook until translucent, stirring occasionally for about 30 minutes. Add the stock and bring to a boil, reduce heat and simmer to thicken slightly. Add cream and bring to a boil, reduce heat and simmer to thicken slightly. Season generously with salt and pepper. Ladle into bowls, top with stilton toast, and run under the broiler until the cheese is melted and brown. Serve immediately."
12,"In a large saucepan, combine the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Bring to a boil. Add the berry soup. Stir in the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Stir in the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract,"
13,"Preheat oven to 350 degrees f. In a large bowl combine amaretto, soy sauce, lime juice, sesame oil, hoisin, pepper, ginger and salt, whisk well to combine. Add salmon fillets and cover with plactic wrap to marinate in refrigerator for 1 hour. Lightly coat a shallow roasting pan with vegetable oil spray. Place the salmon in the pan, skin side down, and bake for 10 minutes. In a small saucepan pour the remaining marinade and bring to a boil. Let this reduce for 10 minutes. Place fillets on a serving platter or large plate and pour reduced marinade over the top. Serve immediately."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 375 degrees f. Place marinated pork in a roasting pan, and bake in preheated oven for 35 to 40 minutes, or until meat thermometer reads 160 degrees f, basting meat often with marinade."
17,"Preheat oven to 425 degrees fahrenheit. Spread bottom crust in a 9 inch pie pan. Spread berry mixture in pie shell. Sprinkle cinnamon on top. Dot butter on top. Put top crust on and seal edges. Poke several vent holes in top crust. Bake at 425 degrees fahrenheit for 10 minutes. Turn oven down to 350 degrees fahrenheit, leaving pie in oven, and bake for 30 minutes longer."
18,"Preheat oven to 350f. Butter a 15 x 10-inch jellyroll pan. Cream butter with sugar and beat until light and fluffy. Add peanut butter and beat until combined well. Beat in egg, vanilla and salt. Add flour and beat just until combined. Stir in coconut. Spread mixture evenly in prepared pan. Sprinkle peanuts over, pressing them in lightly. Bake for 20-25 minutes, or until a tester comes out clean. Let cool, cut into 24 bars and then the bar on the diagonal, making 48 cookies."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"In a large saucepan over medium-high heat, stir together the oranges, caster sugar, vanilla bean, orange-flavored liqueur, brandy. Add water. Bring to a boil, stirring constantly. Allow to boil for two minutes, still stirring. Add milk and orange peel and heat to serving temperature. Add butter and orange peel and cook, stirring, until just tender, 3 to 5 minutes. Stir the asparagus. Toss to coat and serve."
21,"Preheat oven to 350 degrees fahrenheit. Grease 8x8x2-inch baking pan. In large bowl beat butter and sugar until fluffy. Beat in eggs, one at a time. Beat in chocolate, then flour. Stir in walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
22,"Preheat oven to 400 degrees. Combine flour, sugar, baking powder, baking soda, salt, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda, salt, vanilla, egg substitute, crushed pineapple, flour, whole wheat flour, baking soda"
23,"Preheat oven to 350f. In a large bowl, beat the margarine, white and brown sugars together until fluffy. Add eggs and vanilla, beat well. In another bowl, sift flour, baking powder, and salt. Add to the creamed mixture, stirring well. Fold in butter brickle bits, and chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
24,"Preheat oven to 350 degrees F. Line a large baking sheet with parchment paper. In a large mixing bowl, combine mayonnaise, vinegar and sugar. Mix well. Pour dressing over salad mixture, stirring well. Cover and refrigerate at least 2 hours to allow flavors to blend."
