,result
0,"Preheat oven to 375 degrees f. In a large bowl, cream brown sugar and melted butter. Add vanilla and eggs 1 at a time. In a separate bowl, sift flour, powder, and salt. Add dry mixture into wet mixture. Spread into a greased glass baking dish. Cook in oven until golden, 15-18 minutes. In a microwave safe bowl, heat peanut butter and cream on low heat. Stir until smooth, and spread over baked bars. Cool slightly and cut into squares."
1,"Preheat oven to 350f. Saute onion and mushroom stems in bacon fat until tender. Drain off excess fat. Mix crumbled bacon, onion and stems with softened cream cheese until the mixture is workable. Stuff each mushroom and bake for 10-15 minutes. Finish under the broiler just until tops are golden."
2,"Preheat oven to 400 degrees f. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Carefully pour the chicken broth over all. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 425. Spread the vegetables in a single layer in one or more large shallow roasting pans. Do not crowd them or they will not brown. Drizzle with the oil and sprinkle with salt and pepper to taste. Stir well. Roast the vegetables, stirring once or twice, for 45 minutes. Pierce each sausage in two or three places with a fork. Place the sausages on top of the vegetables. Bake for 15 to 30 minutes, or until the sausages and vegetables are cooked through. Serve hot."
6,"Preheat oven to 350c. Line a large baking tray with baking parchment. Place bread in a blender or food processor and blend to make fine breadcrumbs. Mix the breadcrumbs with the grated cheese and. Place the egg white and flour in 2 separate shallow bowls. Dip the chicken pieces in the flour first to lightly dust then dip into the egg whites and finally into the cheesy breadcrumbs, turning to evenly coat. Place on prepared baking tray. Bake for 25-30 minutes, until the chicken is thoroughly cooked, there is no pink meat and the juices run clear when pierced with a sharp knife. Serve the chicken dippers with tomato sauce or mayonnaise."
7,"Preheat oven to 350 degrees. In an ovenproof saucepan or dutch oven, heat oil on medium-high heat. Add onion, garlic, and jalapeos and cook, stirring, 4 minutes. Add rice and cook, stirring, 1 minute. Add remaining ingredients. Bring to a boil, stir, and cover. Place in oven and bake until rice is tender, about 50 minutes. Fluff with fork before serving."
8,"Preheat oven to 375f. In a large mixing bowl stir together flour, baking soda, and salt. Set aside. In a large mixing bowl with an electric mixer on medium speed cream butter and sugars until fluffy. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a 2-quart pitcher combine grapefruit, maraschino cherries, white sugar, lime, vodka, ruby red grapefruit juice, ice. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of maraschino cherries and a strip of maraschino cherries into a knot and use as a garnish. Serve at once."
10,"Preheat oven to 350 degrees f. Spread almonds onto a baking sheet in a single layer. Roast about 10 to 15 minutes, until slightly browned, tossing a couple of times for even browning. Let cool to touch. In a blender, mix or pulse the almonds with the walnut oil and salt. This can take about 10 minutes or so. Once smooth, spoon in honey and blend for 30 seconds to mix thoroughly. Spread on an ungreased baking sheet. Bake 30 minutes, until slightly browned, tossing a couple of times for even browning. Spread on an un"
11,"Toast 6 thick slices of cheese in a 300 degree oven until crisp. Blend the cheddar cheese with a couple tablespoons of butter, then spread on the toast. When ready to serve the soup, pop one of these on top of each serving bowl and sprinkle with lots of cheddar cheese. Melt butter in a large saucepan over low heat. Add onions, cover, and cook until translucent, stirring occasionally for about 30 minutes. Add the stock and bring to a boil, reduce heat and simmer to thicken slightly. Add cream and bring to a boil, reduce heat and simmer to thicken slightly. Season generously with salt and pepper. Ladle into bowls, top with stilton toast, and run under the broiler until the cheese is melted and brown. Serve immediately."
12,"In a large saucepan, combine the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Bring to a boil. Add the berry soup. Stir in the strawberries, ginger ale, milk, sugar, lemon juice, vanilla extract, sour cream. Stir"
13,"Place salmon in 9 x 13 inch baking dish. Combine remaining ingredients and pour over salmon. Turn salmon so that it gets coated with the marinade. Cover and refrigerate for 30 minutes. Bake in preheated 425 f oven for 10-12 minutes, or until fish flakes easily and is opaque in centre."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Heat large non-stick skillet, swirl in oil, then add garlic. Saute 30 seconds. Add beef in two batches, cook til just browned, about 2 minutes. Drain pasta, add to bowl with yogurt dressing. Add steak and tomatoes, toss to coat. Serve immediately."
16,"Preheat oven to 375 degrees f. Place marinated pork in a roasting pan, and bake in preheated oven for 35 to 40 minutes, or until meat thermometer reads 160 degrees f, basting meat often with marinade."
17,"Preheat oven to 350 degrees fahrenheit. Spread bottom crust in a 9 inch pie pan. Spread berry mixture in pie shell. Sprinkle cinnamon on top. Dot butter on top. Put top crust on and seal edges. Poke several vent holes in top crust. Bake at 350 degrees fahrenheit for 10 minutes. Turn oven down to 350 degrees fahrenheit, leaving pie in oven, and bake for 30 minutes longer."
18,"Preheat oven to 350f. In 13x9-inch baking pan, melt butter in oven. Sprinkle graham cracker crumbs evenly over butter. Pour milk evenly over crumbs. Top with remaining ingredients. Press down firmly. Bake for 25-30 minutes or until lightly browned. Cool completely, chill if desired, and cut into bars."
19,"Preheat oven to 350 degrees. In a large mixing bowl, combine the first 4 ingredients. In a 2-quart saucepan, heat the honey, oil and vanilla until syrupy. Add to the dry ingredients and mix well. Spread on a jellyroll pan. Bake for 20 minutes, stirring every 5 minutes. Store in an airtight container or plastic bag in the refrigerator. It will keep for several weeks."
20,"In a large saucepan, combine the orange blossom water, blood orange juice and lemon juice. Add 1 cup of oatmeal to each of 6 bowls. Sprinkle evenly with orange blossom water, blood orange juice and lemon juice. Stir. Add what remains of one lemon and one blood orange. Let chill for 30 minutes. Serve over ice."
21,"Preheat oven to 350 degrees fahrenheit. Grease 8x8x2-inch baking pan. In large bowl beat butter and sugar until fluffy. Beat in eggs, one at a time. Beat in chocolate, then flour. Stir in walnuts. Spread evenly into prepared pan. Bake for 25 to 30 minutes or until firm."
22,"Preheat oven to 350 degrees farenheit. Cream sugar and margarine. Add bananas and eggs. Sift cake flour, salt, and baking soda 3 times. Blend flour mixture into banana mixture, making sure not to overmix. Turn out immediately to cool on wire rack. Bake for 55 minutes, or until toothpick inserted in center of loaf comes out clean. Bake for 55 minutes, or until toothpick inserted in center of loaf"
23,"Preheat oven to 350f. In a large bowl, beat the margarine, white and brown sugars together until fluffy. Add eggs and vanilla, beat well. In another bowl, sift flour, baking powder, and salt. Add to the creamed mixture, stirring well. Fold in butter brickle bits, and chocolate chips. Spread in a greased 9x13-inch pan. Bake for 25-30 minutes. Can be frosted with chocolate frosting."
24,Heat oven to 350 degrees F. Add 1/2 cup of water to a large saucepan and bring to a boil. Reduce heat to low and simmer for 10 minutes. Remove from heat and let cool to room temperature.
25,"In a small saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add pineapple juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving. Just before serving, mash the mixture with a potato masher and stir in lemon-lime soda."
26,"Place all ingredients in a sauce pot. Cook on high heat until mixture starts to boil. Stirring occasionally until berries pop. Lower heat to medium and using the back of a large wooden spoon, squeeze the grapes against the side of pot or use a potato masher to pop grapes, leaving some whole. The pectin from the grapes and sugar will thicken the sauce as well as the heat the reducing the mixture."
27,"Place the mangoes, chilies, and ginger in a large pan. Add the lemon rind and juice, and stir in the water. Bring to a boil, and boil for 10 minutes or until a thick consistency is reached. Stir in the sultanas and balsamic. Cook for an additional 5 minutes. Let cool slightly, and pour into warm sterilized jars. Seal according to manufacturers directions."
28,"Preheat oven to 325f. In a large mixing bowl, cream your butter and sugars til fluffy and airy. Add eggs, one at a time, beating well after each addition. Stir in flour mixture until combined well drop by quarter cup measure on to an ungreased baking sheet. Bake 12 to 13 minutes or until lightly browned. Remove from baking sheet and then cool on wire rack."
29,"Preheat oven to 450 degrees. Grease a 12 cup muffin pan or you can use a mini muffin pan. Combine cornmeal, flour, baking powder and salt in a large bowl. In a separate bowl, combine egg whites, onion, milk, parsley, oil and pepper. Add to dry ingredients stirring just until moistened. Spoon into prepared muffin tins. Bake for 10-12 minutes or until lightly browned. Remove and cool on a rack for 5 minutes."
30,"Preheat oven to 350. In a small bowl combine the flour tortillas, bologna, american cheese, mayonnaise, butter, garlic cloves, eggs, parmesan cheese, salt & fresh ground pepper, hoagie rolls, giardiniera. Add parmesan. Mix well. Bake until heated through, about 10-15 minutes. Unwrap and slice. Bake until lightly browned on each side. Lightly butter one side of flour tortilla. If using mayonnaise spread lightly on unbuttered side of tortilla. Put the slice of browned bologna and cheese on unbuttered side of tortilla. Fold in half and cook buttered side down in a warm skillet until tortilla is lightly browned. Turn and cook other side until lightly browned. Serve."
31,"Preheat oven to 200c. Sprinkle olive oil over the base of the baking dish. Lay cutlets in the dish, rubbing them with the oil. Cover cutlets with crushed garlic, mustard and rosemary, then season with the salt and pepper. Place in the oven and cook for 25-30 minutes, turning once, until the cutlets ar browned and crispy. If desired, serve on a bed of couscous with your favourite steamed vegetables."
32,"Preheat oven to 450 degrees f. Heat 2 large roasting pans in the oven for 5 minutes. Meanwhile, in a large bowl, toss the zucchini with the olive oil and crushed red pepper. Season generously with salt and pepper. Spread the zucchini on the hot pans and roast for 30 minutes without stirring, until the rounds are tender and their bottom are golden. Transfer to a platter, garnish with mint and serve."
