id,name,steps,ingredients
13054,tomato pots,"Cut tops off the tomatoes with a sharp knife, remove core and seeds. Sprinkle the insides with salt, turn upside down on paper towels to drain for 30 minutes. Blot as much moisture as you can from the inside of each tomato and make 4 small slits around the top with a sharp knife. Preheat oven to 450 degrees, bake for 5 minutes. Remove and put 2 tablespoons cheese into each tomato. Break an egg into each tomato and season with salt and pepper. Heat the cream to boiling point and spoon it into the eggs, top each with a pat of butter and the remaining cheese. Bake for a further 5-10 minutes.","tomatoes, salt and pepper, cheese, eggs, heavy cream, butter"
12152,strawberry trifle,"Cut the cake vertically into halves. Slice the cake into fingers. Prepare topping mix as per instructions on the packet but using skimmed milk, or if using fresh cream, whip until stiff. Layer half the cake pieces, yoghurt, whipped topping, strawberries and kiwi in a 2 quart serving bowl. Repeat layers and sprinkle with almonds. Garnish with whole strawberries, if desired. Refrigerate for atleast 2 hours. For an alternative taste, grate the rind of an orange and a lemon and sprinkle over the sponge. Use orange flavoured yoghurt and top with tinned mandarines instead of strawberries.","sponge cake, topping mix, non-fat strawberry yogurt, strawberry, kiwi fruits, slivered almonds"
36126,turkish cacik,"Place yoghurt in a large bowl. Add all other ingredients, except salt and water, and mix thoroughly. Add water until required consistency is achieved. Stir in some salt, taste and add more if required. Chill in refrigerator for about two hours before serving.","plain yogurt, cucumbers, garlic, salt, dried mint, extra virgin olive oil"
307180,tis mamas to keik mama s cake,"Preheat the oven to 350 degrees f. In a large bowl, cream the eggs and sugar. Add the butter, milk and vanilla and beat for 5 minutes. Mix the flour, baking powder and peaches and add this to the egg mixture. Beat mixture together for 2 to 3 minutes. Grease and flour a tube or bundt pan and pour the mixture evenly in and around the pan. Bake for 45 to 1 hour or until golden brown. Allow to cool before serving.","eggs, sugar, unsalted butter, milk, vanilla, flour, baking powder, peaches"
38495,turkey breasts with brandy sauce,"Heat oil, fry turkey until done, remove from pan, cover and keep warm. Drain oil from the pan, add the butter and the leeks. Cook for a few minutes until leeks are tender. Add the brandy and let reduce to almost halve. Now add the cream and cook until slightly thickened. Add the grapes and the yellow pepper. Check the seasoning. Put the turkey on plates, pour the sauce over and sprinkle with the almonds, serve with choice of vegetables.","turkey breast, oil, butter, leek, brandy, light cream, seedless grapes, yellow pepper, salt and pepper, sliced almonds"
238756,pork kabobs pinchos,"Using a piln, mash the garlic cloves and salt into a paste. Mix in the pepper and oregano. Stir in the olive oil and vinegar. Set the marinade aside. Cut the pork into 1-inch cubes. Cover the pork pieces with the marinade and let set in the refrigerator for about 20 minutes. Skewer the pork pieces and grill the kabobs for about eight minutes, turning occasionally for even grilling.","garlic cloves, salt, pepper, dried oregano, olive oil, white vinegar, boneless pork shoulder"
60009,baked red snapper,Preheat oven to 375 degrees. Brush pan with 1 teaspoon olive oil. Brush fish with the rest of the olive oil. Top with the veggies. Cover with foil and bake for 20 minutes. This is also very good on the grill in a foil packet.,"olive oil, red snapper fillets, onion, plum tomatoes, green pepper"
190952,black olive mayonnaise,"Place the garlic cloves into the bowl of a food processor and pulse until finely chopped. Add the olives and parsley and pulse again until the mix is almost a puree. Add the mayonnaise, lemon juice and salt and pulse until just combined. With the processor running, add the olive oil in a stream. Pour into a bowl and chill until ready to use. Great served with sandwiches, over toast, flatbread, pita chips, etc.","garlic cloves, pitted black olives, flat leaf parsley, mayonnaise, fresh lemon juice, salt, extra virgin olive oil"
386962,peanut butter dreams,"Melt chocolate in double boiler, do not cover. Add chunky peanut butter and stir until melted. Place cereals, peanuts, and marshmallows in large mixing bowl. Pour melted chocolate over cereal mixture and mix so all is coated. Drop by tablespoon onto wax paper and allow to set.","cereal, dry roasted peanuts, rice krispies, mini marshmallows, white chocolate, chunky peanut butter"
359454,korean style romaine,"Cut romaine crosswise into 2-inch pieces and put in a bowl. Cook garlic, ginger, and red-pepper flakes in sesame oil in a small heavy skillet over medium-low heat, stirring, until garlic begins to sizzle, about 30 seconds. Stir in soy sauce and water and bring to a boil. Pour hot dressing over romaine and toss to coat. Sprinkle with sesame seeds. Marinate, stirring occasionally, at least 30 minutes. Romaine can be made 1 day ahead and chilled. Bring to room temperature before serving.","romaine lettuce, garlic, ginger, red pepper flakes, sesame oil, soy sauce, water, sesame seeds"
