id,name,steps,ingredients
277643,potato cabbage soup,Combine all ingredients except half-and-half in slow cooker. Cover. Cook on high for 6 hours. Remove 2 cups vegetables and 1 cup liquid from cooker and puree in blender. Return to cooker and stir in half-and-half. Cook 20 minutes more.,"cabbage, russet potatoes, cooked ham, chicken broth, half-and-half"
54179,caramel apple bake,"Preheat oven to 375. Mix apples, 2 tbs baking mix and cinnamon. Stir in caramels. Spread in ungreased 8x8 pan. Mix remaining ingredients together. Sprinkle over apples. Bake 35-40 minutes til apples are tender and topping is brown.","apples, baking mix, cinnamon, caramels, nuts, brown sugar, margarine"
168492,grilled rock lobster tails,"Set grill to high heat. In a small bowl mix the lemon juice with oil, then add in salt, paprika, pepper and garlic powder. Whisk until well combined. Split the lobster tails lengthwise using a large sharp knife. Brush the flesh side tail with the marinade. Lightly oil the grill plate. Place the tails flesh side down on grill. Cook for about 10-12 minutes brushing frequently with marinade. Discard any remaining marinade. Lobster is done when opaque in colour and firm to the touch.","lemon juice, olive oil, salt, paprika, black pepper, garlic powder, rock lobster tail"
95061,valentine granita,"In a medium saucepan over medium heat dissolve the sugar in the water. Remove from heat and add frozen raspberries and the mango chunks. Pour into a blender or food processor and blend until smooth. Strain through a fine mesh sieve. You should have about 2 cups fruit mixture. Pour mixture into a 13x9x2 baking dish and freeze for 1-2 hours until mixture is slushy and nearly frozen. Stir well, being sure to scrape the sides of the pan. Spread mixture to evenly cover the bottom of pan or container and freeze 8 hours or overnight. To serve, let stand at room temperature for 5-10 minutes. Scoop into dishes and garnish with fresh raspberries, if desired.","water, sugar, frozen raspberries, mango, fresh raspberry"
44739,orange sugared pecans,"In a heavy saucepan, combine sugar, water and orange juice concentrate. Cook over medium high heat, without stirring, until candy thermometer read 238 soft ball stage. Remove from the heat, stir in pecans and orange peel. Beat with a spoon until mixture thickens and loses its gloss, about 2 minutes. Drop by teaspoonfuls onto waxed paper to harden. Store in an airtight container.","sugar, water, orange juice concentrate, pecan halves, orange zest"
239695,grilled tomato smoked turkey and muenster sandwich,"Combine the first 4 ingredients in a bowl. Spread 1 teaspoon butter on one side of each bread slice. Spread 2 tablespoons mustard mixture over unbuttered side of each of 2 bread slices. Top each with 3 turkey slices, 2 tomato slices, 1 cheese slice, and 1 bread slice. Heat a large nonstick skillet over medium heat until hot. Add the sandwiches. Cover and cook for 3 minutes on each side or until golden brown.","red onion, nonfat sour cream, dijon mustard, fresh thyme, butter, sourdough bread, fat-free honey roasted turkey breast, tomatoes, muenster cheese"
260011,chicken soup with rice,"Put all ingredients, except rice, in a large pot with 10 cups of water. Bring to a boil then reduce heat and simmer lightly covered for 3 hours. Strain broth into large bowl and discard vegetables. Return broth to pot. Remove chicken. Remove meat and return to broth. Cool, then refrigerate several hours or overnight. Remove solid fat from top of broth. Return to heat and bring to a boil. Adjust seasoning, add rice and reduce heat to a simmer for 30 minutes.","chicken parts, onion, carrot, celery ribs, garlic cloves, parsley, whole cloves, dried thyme, salt and pepper, long grain white rice"
462380,chilli corn tamale cakes,Beat eggs. Finely chop coriander and red chillies. Finely chop the potato once boiled. Mix all ingredients. Heat 1 tbsp oil in a frying pan over medium heat. Cook heaped tablespoons of the mixture for 3-4 minutes each side until crisp. Add more oil for each batch as required. Serve with ultimate avocado dip.,"corn kernels, self-raising flour, eggs, spring onions, potato, chili, coriander, milk, vegetable oil, salt"
123197,easy wet burrito,"Microwave burritos on a plate 5 at a time for 4-5 minutes. Place burritos in a dark baking pan. Pour 2 cans enchilada sauce over burritos. Cover with shredded cheese, green onion and black olives. Bake in oven at 350f for 15-20 minutes or until cheese is completely melted or sauce is bubbling.","burritos, mild enchilada sauce, green onion, black olives, cheddar cheese"
414063,peanut butter pie semi homemaker recipe sandra lee,"In large bowl combine all the ingredients except the toppings and crust. Blend with a hand mixer. Gently fold in whipped topping. Pour into prepared crust and freeze for 2 hour. Once frozen, drizzle with ice cream topping and re-freeze for 20 minutes. Thaw slightly before serving and cut into thin slices because this is a rich pie.","creamy peanut butter, powdered sugar, milk, vanilla extract, cream cheese, whipped topping, ice cream topping, oreo cookie pie crusts"
32612,tart cherry jam cooked,Follow sure jell directions. Water bath can 15 minutes using regulation jars& new caps. Follow sure jell instructions for cooked jam. Please water-bath all jam for 15 minutes. Jam canned this way will be safe& last over 2 years without mold.,"cherry pulp, sugar, sure-jell, butter, almond extract"
315143,chickpea broccoli casserole,"Preheat oven to 350. In large bowl, mash the chickpeas well, using a potato masher or a firm fork. It takes about 2 minutes to get the right consistency. Add vegetables and mix well. Add the bread crumbs and mix, then add the oil and mix again. Finally, add teh vegetable broth and salt, mix one last time. Transfer all ingredients to a 9 x 13 casserole dish. Press the mixture firmly into the casserole. Cover with foil, bake 45 minutes. Uncover and bake for 15 more minutes. Serve it hot the day you cook it, but it tastes good cold as well.","chickpeas, onion, carrots, broccoli, chives, breadcrumbs, olive oil, vegetable broth, salt"
