response,target_recipe
"Place yogurt and lime juice in large bowl. Stir to combine. Add brown sugar and stir to combine. Place half of the mixture in a large flat container and fold in half of the banana slices and half of the blueberries. Repeat with remaining yogurt mixture and fruit. Cover with plastic wrap and freeze until firm. Serve immediately or store up to two weeks in freezer.
This recipe contains potential food allergens and will effect people with Wheat, Milk, Natural Sweeteners, Fructose Malabsorption, Gluten allergies.",152233
"Preheat oven to 375 degrees f. In a small bowl, combine the first three ingredients. Press into the bottom of an ungreased 13x9 inch baking pan. In a small saucepan over medium heat combine the remaining ingredients. Bring to a boil. Pour evenly over the crumb mixture. Bake for 25 minutes or until lightly browned. Cool. Cut into bars. Store covered.
I am very impressed with the quality of your product. The flavor is excellent and the texture is great. The product is very fresh.
These are the best cookies ever! I love them.
These are the best! My favorites!
Best cookies ever! I make them all the time.",73522
Remove stems from caps and chop stems. Heat oil in large nonstick skillet over medium-high heat until hot. Add onion and cook until tender. Stir in stems. Add garlic and cayenne and cook 1 minute. Add mushroom caps and cook 5 minutes. Stir in creamed spinach and cook 3 to 5 minutes. Serve on bun with cheese.,150629
In a large bowl combine orange juice and green onions. Cut the green onions in half lengthwise and add to the orange juice mixture. Then add the fish fillets and the teriyaki sauce. Cover and marinate in the refrigerator for about an hour. Preheat the oven to 375 degrees F. Spray a baking dish with cooking spray. Dip the fish fillets in the cornflour until they are covered and then place in the baking dish. Pour the marinade over the fish. Bake uncovered for about 15 minutes or until the fish is cooked through. Sprinkle with fresh ginger before serving. Serve with rice.,83438
"Place the balsamic vinegar, olive oil and shallot into a shallow dish and stir to combine. Add the fresh rosemary and stir to combine. Add the steaks and turn to coat both sides with the marinade. Cover and chill in the refrigerator overnight. Grill over medium heat about 4 inches from the coals or heat on the stovetop, using a grill pan. Grill 4 minutes per side and serve immediately.",363892
"Heat oil in large skillet over medium heat. Add onion and garlic and saute until soft but not brown, about 6 minutes. Stir in tomato paste, chile in adobo, cumin, oregano and adobo sauce. Cook 1 minute more. Add beans and watersimmer 10 minutes. Stir in salsa and serve with tortilla chips.
Today I did a little experiment with some fresh jalapenos I got at the farmer's market the other day. I like to get the fresh jalapenos so I can make my own jalapeno jelly. I made some a while back and was reminded how delicious they are as I was enjoying my pizza last night.
I like to make my own jalapeno jelly because I really do not like the commercially made ones that have little bits of jalapeno floating around. I have tried the ones with the seeds taken out and they are not even close to the ones with the seeds still in them. The seeds add the most flavor to the jelly and I like my jalapeno",313149
"Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheet or line with parchment paper. In a medium bowl, combine the flour, baking soda and saltset aside. In a large bowl, combine the butter and sugars until creamy. Beat in the eggs until fully blended. Gradually stir in the flour mixture until just blended. Fold in the chocolate chips and nuts. Drop by rounded teaspoonfuls onto the prepared cookie sheetflatten slightly with the back of a spoon. Bake for 8 to 10 minutes in the preheated oven, or until slightly golden around the edges. Allow to cool for 2 minutes before removing from the cookie sheet to a wire rack to cool completely. Makes about 4 dozen.",472626
"Place all ingredients into a 4-quart slow cooker. Cook 8-10 hours on low heat setting or 4-5 hours on high heat setting. Remove pork from cooker. Shred meat. Toss meat with 1/4 cup of barbecue sauce, 1 tablespoon of teriyaki sauce. Cover to keep warm. Serve meat with remaining barbecue sauce on the side. Makes 8 servings.",86453
Peel and halve the eggs lengthwise. Remove the yolks and place them in a small mixing bowl with the other ingredients and mash well with a fork or whisk until creamy and smooth. Stir in the sour cream. Fill the egg halves with the mixture and sprinkle with the paprika. Refrigerate for at least one hour before serving. Serves 12.,270038
Preheat oven to 400 degrees F. Heat the vegetable oil in a large saute pan over medium heat. Add the chicken and brown well. Add the garlic and cook for 1 minute. Add the soy sauce and stir well. Add the white vinegar and cook for about 10 minutes. Add the bay leaves. Season with salt and pepper. Add the paprika and mix. Pour into a roasting pan or casserole dish. Roast for about 40 minutes.,261244
