response,target_recipe
"Brown beef in skillet over medium heat for 5 minutes. Add onion soup mixture, salt and pepper to taste and cook until onions are tender. Mix potatoes in with beef mixture and add mushrooms. Pour into 9 inch pie plate and bake at 350 degrees for 40 minutes. Top with swiss cheese and return to oven for 5 minutes or until cheese is melted and bubbly. Cool for 10 minutes before serving.",17302
Heat oil over medium-low heat in a heavy saucepan. Saute the onions and the garlic for 10 minutes. Add the beans. Pour over molasses and soy sauce. Stir well. Bring to a boil. Reduce heat to low and simmer for 10 minutes. Stir in the mustard. Makes 4 servings.,76606
"BASIC WHITE FROSTING Makes about 3 cups (17 oz.) 1. Place egg whites in a large bowl or in the bowl of an electric mixer fitted with the whisk attachment. 2. Beat on high until frothy. 3. Gradually add sugar, about 1/4 cup at a time, beating on high until stiff peaks form. 4. Add water, 1 teaspoon at a time, until frosting reaches spreading consistency. 5. Add vanillamix well. 6. Beat on high for 2 minutes. 7. Frosting is done when it is shiny and can be spread easily between two fingers. PEANUT BUTTER FROSTING Makes about 3 cups (17 oz.) 1. Place egg whites in a large bowl or in the bowl of an electric mixer fitted with the whisk attachment. 2. Beat on high until frothy. 3. Gradually add sugar, about 1/4 cup at a time, beating on high until stiff peaks form. 4. Add water, ",351280
"Prepare pasta according to package directions. Drainrinse under cold water. Drain again. Add basil pesto dressing, water and oil. Toss to coat. Add cooked chicken, tomatoes, cucumber and olives. Toss gently to mix. Refrigerate until serving. Serve with feta cheese. Serves 4.",375585
"Heat olive oil in a large frying pan over medium heat. Brush both sides of each bread slice with oil and place in pan. Cook until browned on both sides and crisp, about 1 minute per side. Transfer to paper towels and sprinkle with lime zest and chili flakes. Serve warm.",304628
"Preheat oven to 375f. Peel potatoes and cut into 1 inch cubes. Toss with olive oil and place in a single layer on a baking sheet. Bake 30-40 minutes or until potatoes are tender and lightly golden brown, stirring halfway through baking time. Mix together remaining ingredients and toss with potatoes. Serve immediately or bake another 10 minutes or longer for a crispier potato. Serve with bread or salted peanuts.",20103
"Soak red beans and lotus seeds separately in separate bowls of water overnight. Drain beans and seeds and add to pot with vanilla pod, pearl tapioca, sugar and water. Simmer for 4 hours or until beans are tender. Strain soup through a sieve and serve with rice balls and/or ginger syrup. Serves 6",89081
"In a bowl combine cookie crumbs, melted butter and cream cheese. Press onto a 13x9x2 inch baking pan lined with foil. Bake for 20 minutes at 350f. In a microwave safe bowl combine the chocolate chips, creamy peanut butter and milk until smooth. Spread onto crust. Top with chocolate chips and nuts. Refrigerate until firm. Break into bars to serve.",218642
"Cook pasta according to package directions. Meanwhile, cook the kielbasa in a large skillet over medium heat until browned. Drain the pasta. Pour the pizza sauce into a 9x13 baking dish. Layer the pasta over the sauce. Top with the kielbasa and the baby spinach. Sprinkle the cheese over the top. Bake at 350 for 20 minutes or until the cheese is melted and the pasta is heated through. Serve warm.",380964
"In a saucepan over low heat, combine milk with honey. When it starts to simmer, remove from heat. In a bowl, combine yolks with milk mixture. Let cool. In a chilled bowl, whip whipping cream until stiff. In another bowl combine banana with walnuts. Fold in whipped cream into yolk mixture. Fold in banana/walnut mixture. Pour into ice cream maker. Freeze for 20 minutes. Makes 12 servings.",66437
Combine all of the marinade ingredients in a bowl and whisk together. Place chicken breasts in a resealable bag. Pour marinade into bag with chicken breasts. Seal bag and place in refrigerator for 3-4 hours. Remove chicken from marinade. Grill for 4-5 minutes per side or until no longer pink. Serve with extra ranch dressing.,189389
"In a food processor, combine cilantro, garlic, lime zest and juice, jalapeno pepper, soy sauce and olive oilseason with salt and pepper. Transfer to a bowl and stir in the halibut. Marinate in the refrigerator for at least 1 hour. Preheat grill to medium-high heat. Grill fish for about 6 minutes on each side or until just cooked through. Serve with potatoes and pesto mixture.",241776
"Heat oven to 400 degrees F. Combine lemon juice, zucchini, yellow squash, tomatoes, olives, and basil in a large bowl. Divide tomato mixture evenly among four 10-inch nonstick ovenproof skillets. Lay salmon fillets on top of each tomato mixture. Pour oil over salmon fillets. Bake uncovered in the middle of oven until salmon flakes with a fork. Sprinkle with salt and pepper. Serves 4.",250689
"In a shallow dish combine the mustard, brown sugar and oil. Add the salmon and turn to coat. Marinate for about 30 minutes. Preheat the broiler. Arrange salmon on a foil-lined baking sheet and sprinkle with the sesame seeds. Broil for 10 to 12 minutes until just cooked through. Serve with potato chips and fresh dill.",124438
"Heat oil and butter in a large skillet over medium heat. Add onions and season with salt and freshly ground black pepper. Cook until translucent and lightly browned, about 20 minutes. Stir occasionally to keep from sticking. Add fresh thyme and cook until onions are soft and very lightly browned and thyme is crisp, about 10 minutes more.",17642
Heat the olive oil in a heavy dutch oven over medium heat. Add the veal and beef and season with 1 teaspoon of the kosher salt and the pepper. Cook until the meat is browned on the outside and no longer pink in the center. Transfer the meat to a plate and add the onion. Cook until softened and lightly browned. Return the meat to the pan and add the wine. Bring to a boil and cook until almost completely reduced. Add the tomatoes and the sausage. Bring to a boil again and cook for 2 minutes. Add the hot pepper flakes and season with the remaining 1/2 teaspoon kosher salt. Reduce the heat to low and cook for 30 minutes. Taste and season with more pepper and the remaining 1/2 teaspoon kosher salt. Serve over your favorite pasta.,84338
"Cook pasta according to directions. Drain. Place pasta in serving bowl. Add cucumber, green peppers. Sprinkle with cheese. Pour dressing over pasta mixture. Serve immediately.",95212
"In a skillet, combine chicken breast with the water. Cook over low heat until the liquid evaporates and chicken is fully cooked. Cut into cubes. In a large skillet over medium heat, cook chopped onion in 3 tbsp butter until soft and translucent. Add 4 tbsp of fettuccine and toss. Add garlic, red pepper flakes, basil and parmesan cheese. Cook for another 3 minutes. Add cooked chicken cubes. Add 2 tbsp of water. Cook until cheese melts. Add cooked spinach. Cook until heated. Serve hot. Serves 3.",43388
Preheat grill. Lightly oil one side of each piece of bread and place on grill. Grill until the bread begins to brown and toast the olive oil. Remove from grill and turn the bread over. Spread the bread with scamorza cheese. Place spinach leaves on the cheese. Top with strips of bacon. Return to grill and toast the bread and the cheese until the cheese is melted and the bread is crispy. Serve hot.,20217
"First, let's prep our potatoes. Using a mandoline slicer, slice them thinly. Heat a large skillet over medium-high heat with 2 tablespoons of the olive oil. Add the potatoes and cook until they start to get crispy on the edges. Once they are crispy on the edges add the peppers and the garlic cloves. Cook for one more minute and then add the ras el hanout and the coriander. Cook until the potatoes are browned. Add the remaining tablespoon of olive oil and the dried chilies. Add a splash of water and bring the whole thing up to a boil. Then add the flaked sea salt. Cook until the water has evaporated. Then add the lemon juice and zest. Taste and adjust the seasoning with sea salt and flaked sea salt. Serve hot.",494977
"Preheat oven to 400 degrees F (200 degrees C). Sprinkle the duck breasts with salt and pepper. Bake for 15 to 18 minutes in the preheated oven, or until cooked through. Meanwhile combine raspberries and water in a small saucepan and bring to a boil over high heat. Reduce heat to medium and let boil for 2 minutes. Remove from heat and stir in cinnamon and vinegar. Serve duck breasts with raspberry sauce.",483653
"Mix the yeast with the warm water in a small bowl. Set aside for 10 minutes. Sift the flour with the salt in a large bowl. Add the pepper and the yeast mixture. Add the oil. Bring together with your hands, kneading the dough for about 5 minutes or until it is smooth. Place in a large bowl. Cover with a cloth. Let rise for 2 hours in a warm place. Divide the risen dough into 4 equal pieces. Roll each piece into a ball. Place on a lightly floured surface. Flatten the balls into thick circles. Place one of the circles on a lightly floured surface. Using a pastry wheel or knife, cut the circle in half. Starting at one end, cut thin strips about 1 1/2 inches long. Gather the ends of each strip together. Pinch them together. Turn the strip over. Pinch the ends together. Place the biscotti on a lightly floured baking sheet. Repeat with the remaining dough. Brush the biscotti with the beaten egg. Sprinkle with the sesame seeds. Bake for 2",111294
"In a casserole dish, layer half the green beans and half the cream of mushroom soup. Sprinkle with half the french-fried onions and half the velveeta cheese. Layer the remaining green beans, cream of mushroom soup, french-fried onions and velveeta cheese. Bake at 350 degrees for 30 minutes. Let sit for 5 minutes. Stir in 2 tablespoons milk and salt and pepper to taste. Serve immediately.",103379
Preheat oven to 425 degrees F. Prepare crust by mixing first 4 ingredients and pressing onto bottom and up sides of 13x9 inch baking pan. Bake for 10-12 minutes or until set. Remove from oven. Cool 5 minutes. Sprinkle chicken with 1/4 teaspoon of the onion powder and 1/8 teaspoon of the black pepper. Place in single layer in baking pan. Bake at 400 degrees for 35-40 minutes or until done. Drain. Spoon 3/4 cup of the sugar and 2 tablespoons of the butter over the crust. Spoon 1/3 cup of the ketchup over chicken. Sprinkle with remaining 1/8 teaspoon of the black pepper. Bake at 400 degrees for 15 minutes or until bubbly. Yield 8 servings.,15740
"Preheat oven to 375f. Spread butter on bread. Sprinkle with lemon juice, Worcestershire sauce, and garlic salt. Top with crabmeat and chives. Sprinkle with more chives and more cheddar cheese. Bake 10-12 minutes or until cheese is melted and bread is crisp. Serve with ketchup if desired.",64921
"Mix cream cheese, sugar and milk in small bowl until blended. Add coconut. Spread into a graham cracker crust. Freeze. Top with cool whip. Add almond extract. Top with more coconut and more cool whip if desired. Cover with foil if not serving right away. Return to freezer until ready to serve.",41785
Peel eggplants and slice 1/2 inch thick. Slice red onions into 1/2 inch thick rings. Put eggplants and onions in a bowl. Add yogurt. Sprinkle with basil. Mix. Let stand. Add lemon juice to taste. Sprinkle with olives. Serve at room temperature.,171821
Place capers in a small food processor and pulse until coarsely chopped. Add cucumbers and pulse until finely chopped. Transfer to a medium bowl and add mayonnaise. Fold in mustard and chives and season to taste with lemon juice and salt. Add more mayonnaise or sour cream until the mixture is smooth and thick. Cover and chill for 1 hour.,388341
"Melt butter in frying pan. Brown the meat in butter on both sides, then remove the meat from pan and set aside. Saute the onion and mushroom in butter until mushrooms are tender. Stir in the onion soup mix and add water. Heat and stir until the mixture thickens. Return the meat and any drippings in the frying pan to the pan and add the soup mix and water. Heat through. Serve over cooked egg noodles sprinkled with the parsley and chopped mushrooms on top.",439430
"Cook the lasagna noodles according to package directions. Spray a 9x13 baking dish with non-stick spray. Combine the alfredo sauce and parmesan cheese in a bowl. Combine the spaghetti sauce and 1/2 cup of the parmesan cheese in a bowl. In a bowl combine the ricotta cheese, 2/3 cup parmesan cheese and the egg. Layer the baking dish starting with the noodles, alfredo sauce and parmesan cheese mixture, spaghetti sauce and parmesan cheese mixture and ricotta cheese mixture. Bake in a 350 degree oven for 30 minutes or until the edges are bubbly. Sprinkle the top with the remaining parmesan cheese and the parsley. Let stand for 5 minutes before serving.",115462
"Preheat oven to 375 degrees fahrenheit. Combine all the vegetables with the seasonings in a large mixing bowl. Stir in 1/2 cup of the melted butter. Spread the mixture evenly into a 13x9x2in baking dish coated with cooking spray. Combine the remaining 2 tablespoons of butter with the flour, and stir with a wire whisk until smooth. Gradually stir in the milk. Bring mixture just to a boilcook and stir for 1 minute or until thickened. Stir the sauce into the vegetable mixture, and bake for 30 minutes or until vegetables are tender. Cool slightly before serving.",52511
Mix all ingredients in a bowl. Drizzle over meat and bake as directed.,305992
"Preheat oven to 350f. Drain beans well and place in a bowl with garlic cloves, onion and parsley. In a small bowl whisk together vinegar, olive oil and salt and pepper. Pour the dressing over beanstoss well to coat. Spread beans on baking sheet. Bake for 20 minutes, stirring once or twice. Let cool completely. Stir in corn before serving. Serve with tortilla chips or vegetable sticks.",182761
Combine pork chops and creole seasoning in a ziplock bag. Let marinate for at least an hour. Heat oil in a skillet. Drain the marinade from the pork chops. Coat the pork chops with the flour. Fry in the skillet until browned on both sides. Add the onions and water and continue cooking until the onions are tender. Serve over hot cooked rice. Serves 4.,150199
Cook asparagus until tender. Drain. Melt butter. Toss asparagus with melted butter. Add parmesan cheese. Add egg and toss. Sprinkle with lemon juice.,6440
"Cube onion, heat butter in pan until melted. Add onions, brown sugar, and flour to the pan stirring frequently until onions begin to brown, about 45 minutes. Add stock to pan stirring occasionally until onions are tender about an hour more. Add salt and pepper to taste. Serve with french baguette and parmesan cheese with parsley.",397259
Combine dry ingredients in a large mixing bowl. Beat egg substitute with applesauce. Stir egg mixture into the dry mixture. Stir in zucchini. Spoon into two greased 9x5x3 inch loaf pans. Bake at 350 for 1 hour or until toothpick comes out clean when inserted into the middle of the loaves. Cool for 10 minutes. Remove from pans and cool completely.,51117
"Cut the steaks into 1 1/2-inch cubes. In a bowl, whisk together the miso, sake, sugar, soy sauce, mirin, oil and sesame seeds. Add the beef cubes and turn to coat with the marinade. Cover the bowl and refrigerate for 30 minutes to 1 hour. Thread the beef cubes onto the skewers. Light the grill and brush the grate with oil. Grill the kabobs over direct high heat for 5 minutes per side, turning once, or until the beef is cooked through but still tender. Serve the kabobs with lemon wedges and steamed rice or noodles.",81893
Melt butter. Add 2 oz chocolate and stir until chocolate melts completely. Spread evenly on the cut side of each banana. Roll each banana in the chocolate mixture and place on cookie sheet. Put 1 tsp rum on each banana and top with the remaining 1 oz of semisweet chocolate. Chill 15 to 20 minutes.,273148
"In a medium saucepan combine sugar, cornstarch, salt, milk, half-and-half, peanut butter, vanilla extract, and whisk until smooth. Cook over medium heat stirring constantly until mixture thickens and boils, stirring constantly until thickened and boiling. Remove from heat. Cool slightly. Pour into 6 small dessert dishes. Refrigerate at least 1 hour or until firm. Top with whipped cream and garnish with chocolate curls. Makes 6 servings.",18858
" Preheat oven to 475. Roll out pizza dough and place on baking sheet. Brush with oil and sprinkle with salt & pepper. Top with mozzarella, pineapple and onion. Bake for 12 minutes. Remove from oven and top with prosciutto and frisee. Bake for an additional 3-4 minutes. Cut into wedges and serve.",473530
"Mix together the turkey & beef. Add the onion and the egg yolk, mixing well. Add the breadcrumbs and mix gently until well blended. Divide the mixture into 8 portions. Take a small handful of the meat mixture and make into a ball about 1"" in diameter. Take another handful of meat mixture and make a ball slightly larger than the first one. Roll the first ball into the second ball and continue rolling all the way through to make a continuous sausage shape. If the meat mixture is too wet to roll, add more breadcrumbs to make a drier mixture. Place the kebabs on a plate and chill in the refrigerator for 10 minutes. In the meantime heat the grill to medium heat. Lightly brush the grill with olive oil or vegetable spray. Place the kebabs on the grill, cover the grill and cook for 4 to 5 minutes on each side until the meat is done. Remove the kebabs from the grill and serve with your choice of side dish and sauce.",91064
Cook macaroni according to package directions. Meanwhile combine cream of mushroom soup and milk and heat through. Drain macaroni and add to soup mixture. Mix well. Add tuna and cheddar cheese and mix well. Pour into a greased baking dish. Combine bread crumbs and melted butter and sprinkle over top of macaroni and tuna mixture. Bake at 350 for 30 minutes.,91636
Peel& core& slice apples. Add brown sugar& cook in sauce pan till soft. Mix brown sugar& spices& add to apples. Mix the rest with milk& eggs& add to apple& sugar mixture. Pour into a greased pan. Bake at 350 for 1 hour. Let it cool. Mix a can of frosting& spread over the top. Sprinkle with coconut & chill.,278781
"Preheat oven to 400 degrees F (200 degrees C). In a large mixing bowl, mix together the butter, potatoes and saltset aside. Heat the oven to 400 degrees F (200 degrees C). In a large mixing bowl, mix together the butter, potatoes and saltset aside. In a large skillet over medium heat, saute the onion, bell peppers and garlic in butter until softened. Stir in the potatoes and seasoningspour into the prepared baking dish. Bake for 15 minutes then turn the potatoes over and bake an additional 15 minutes more or until tender when pierced with a fork. Garnish with chives before serving.",45700
"Cut the tops off the peppers and remove the seeds and ribs. Put the peppers in a 1-quart container and cover with boiling water. Let stand 10 minutes. Drain and dry the peppers. Combine the cream cheese, sausage, green onions and mayonnaise in a small bowl and spread the mixture in the peppers. In a small bowl, combine the parsley and jalapenos. Place the stuffed peppers on the platter and sprinkle with the parsley mixture. Makes 16 stuffed peppers.",12839
"Combine coleslaw mix and green onions in a large bowl. In another bowl, combine ramen noodles with butter. Spread noodle mixture over coleslaw mixture. In a small saucepan, combine almonds, sunflower seeds, 1/4 cup of the oil, soy sauce, sugar and vinegar. Bring to a boil. Boil 1 minute or until mixture is thickened. Pour over coleslaw mixture. Chill before serving.",81488
"Preheat oven to 180C/350F. Grease a 20cm round cake tin. Beat the margarine with the caster sugar until creamy. Add the vanilla essence and eggs one at a time, beating well after each addition. Fold in the yogurt. Sift the polenta into the mixture and fold in. Fold in the coconut. Pour the mixture into the cake tin and bake in the oven for about 30 minutes, or until the cake springs back when pressed lightly in the centre. Remove from oven and cool on a wire rack. When cake is cold sprinkle the rind and juice over the top. Serve sliced with fresh fruit.",56016
Heat oil over medium heat. Add shrimp. Cook about 4 minutes until pink. Add lime juice and seasonings. Cook one minute more. Serve over cooked rice.,295463
"In a small bowl, whisk together tahini paste, miso, soy sauce and water until smooth. Pour dressing over salad and toss to mix well. Serve immediately.",229006
Prepare brown sugar pudding mix according to package instructions using 1 can milk. Cool for 2 minutes. Cut dough into 12 pieces. Roll each piece into a ball and place each ball into a muffin cup. Add 1 teaspoon of pecans to each ball and pour the pudding over the tops of the balls. Bake at 350 degrees for 15 minutes or until toothpick inserted into center comes out clean. Let cool for 10 minutes before serving.,160584
Bring a large pot of salted water to a boil. Cook egg noodles until tender. Drain. Add remaining ingredients. Mix well. Pour into buttered baking dish. Bake at 350 degrees for 30 minutes.,407831
"In a pot, combine all the ingredients. Let it boil. Simmer for 15 to 20 minutes. Remove the pineapple tidbits. Stir the pineapple syrup. Add the pineapple tidbits. Simmer for 5 minutes. Serve the chicken adobo aloha with rice.",45363
"Preheat the oven to 350F. Line 2 baking sheets with parchment paper. Mash bananas with vanilla in a large mixing bowl until smooth. Mix in the coconut oil, oats, almond meal, coconut, cinnamon and sea salt. Mix in the baking powder. Finally add the dark chocolate bars. Spoon the dough in mounds onto the prepared baking sheets. Bake for 15 minutes. Remove from the oven and allow the cookies to cool completely before serving.",395228
"Heat olive oil in large Dutch oven over medium heat. Saute cauliflower, potatoes, curry powder, turmeric and red pepper flakes until tender, about 7 to 8 minutes. Add chicken broth and bring to a boil. Reduce heat to medium-low and simmer 10 minutes. Add chicken to soupcook 4 to 5 minutes or until chicken is cooked through. Remove chicken to a cutting board and shred with 2 forks. Stir into soup along with rice. Stir in scallions. Serve with naan bread and cilantro if desired.",205336
"Preheat oven to 400 degrees F (200 degrees C). Cut top and bottom off the garlic bulbsave for another use. Put the cut-off top and bottom on the flat side of the garlic bulb. Mash the garlic with the flat side of a knife. Remove the mashed garlic from the bulb. Beat together the garlic, 1/2 teaspoon of the salt, and the pepper. Place the salmon fillets in a shallow baking dish. Pour the garlic mixture over the fish. Bake for 20 minutes. Turn the fish over, sprinkle with the remaining 1/4 teaspoon of salt, and bake for another 5 minutes. Serve immediately with fresh lemon juice squeezed over the fish and fresh parsley sprinkled on top.",129760
Cut avocados in half. Remove pits and scoop out avocado. Mash avocado in a bowl. Add cottage cheese. Mix in lemon juice and garlic salt. Spoon into each half of the tortilla. Sprinkle with cheddar cheese. Top with the taco sauce. Add the tomatoes. Fold over. Serve immediately.,212929
