response,target_recipe
Preheat oven to 350f. Brush the tops and sides of the bread slices with butter. Place bread slices in a 2-quart casserole. Place a slice of cheese over the bread. Lay 1 chicken breast on each slice of cheese. Sprinkle with seasoning mix. Top each with another slice of bread. Pour the soup over the bread slices. Dot with butter. Bake for 30 minutes. Serve with steamed broccoli or another vegetable.,74113
Heat the olive oil and butter together on the stove top until melted. Add the chopped garlic and the onion. Sauté the onion and garlic until softened. Add the rosemary and the paprika and sauté for 2 minutes. Add the chicken and brown on all sides (about 5 minutes). Add the chopped celery and the lemon juice and sauté for 3 minutes. Add the chicken broth and the wine and bring the liquid up to a boil over medium high heat. Lower the heat and simmer for 1 hour and 30 minutes or until the chicken is done. Remove the chicken from the soup and shred with two forks. Return the chicken back into the soup and cook for 20 more minutes. Serve with rice and garnish with fresh parsley and lemon wedges.,257796
"Pour raw rice into 4-qt. casserole dish. Stir in celery, green pepper and mayonnaise. Cover and chill overnight. Stir pineapple and preserves into rice mixture. Add chicken and stir gently until chicken is well distributed. Sprinkle with cheddar cheese and season with salt and pepper. Bake at 350f for 30 minutes or until cheese melts and bubbles. Serve with crackers or use as sandwich filling.",251645
"Preheat oven to 350 degrees F (175 degrees C). In 10-inch skillet melt 2 tablespoons of butter over medium heat. Slice corn off cobs. Add to butter along with 1/2 cup water. Cook for 1 minute or until corn is tender crisp. Stir until butter has melted. Stir corn mixture with eggs until blended. Pour egg mixture into skillet. Sprinkle basil leaves over eggs. Cook for 1 to 2 minutes or until eggs are almost set. Place skillet in oven to finish cooking eggs for 5 to 6 minutes or until eggs are firm to touch on top. While eggs are cooking, place 1 tablespoon of unsalted butter in nonstick skillet over medium heat. Cook until butter has melted. Stir frequently until butter is golden brown. Place skillet over low heat. Stir until butter is melted completely. Remove skillet from heat. Top eggs with butter to serve. Serve with smoked mozzarella cheese.",389514
Combine all ingredients in a large saucepan. Cook on medium heat until mixture boils and begins to thicken. Cover and let steep for 10 minutes. Strain. Pour into a pitcher. Refrigerate for 4 hours or overnight. Serve cold.,349283
"Make a batter of eggs, orange juice concentrate, water, flour. Coat wings lightly with flour. Dip wings into batter. Coat wings with pecan pieces. Cook wings on a large grill or indoors on a large pan for 30-40 minutes. Drain on paper towels. Melt butter in large skillet. Add wings. Cook over medium heat until browned on all sides. Drain on paper towels again. While wings are cooking combine the catsup, brown sugar and tabasco. Drizzle mixture over cooked wings.",42549
Combine the apples with the sugar and place in a baking dish. Combine the flour with the cheddar cheese and mix together. Cut the vanilla wafers into thin strips. Combine the orange juice with the cheese/flour mixture. Spoon the cheese mixture over the apples and drizzle the orange juice on top of the cheese mixture. Top with the vanilla wafers. Bake at 400 degrees F (200 degrees C) for 20-25 minutes or until apples are tender. Let the dish stand for 15 minutes before serving.,214321
"In a large saucepan cook green beans with butter for 5 to 7 minutes or until tender-crisp. In small bowl, combine lemon juice and mustard. Stir in dill weed. Drizzle over cooked green beans. Sprinkle with slivered almonds and season to taste with salt and pepper.",62129
"In a medium bowl combine egg yolks, lemon juice, zest, garlic, rosemary, salt & pepper. Whisk together until smooth. Slowly add in olive oil while whisking constantly. Slowly whisk in mustard & tabasco. Adjust seasonings as needed. Serve immediately.",216407
Preheat oven to 350f. Remove garlic from head. Peel cloves of garlic. Place garlic in roasting pan. Drizzle with olive oil. Roast garlic for about 15 minutes. Remove garlic from oven and set aside. Slice zucchini lengthwise. Remove seeds. Place zucchini slices in roasting pan. Drizzle with olive oil. Place roasting pan in oven. Roast zucchini for 15 minutes or until soft. Remove zucchini from oven. Place garlic slices on cutting board. Crush garlic with side of knife. Stir in vinegar. Season with salt and pepper. Add zucchini to mixture. Stir in green onions. Place in serving bowl. Serve with fresh cilantro.,257481
