,result
0,"Preheat oven to 350f. Butter a 15 x 10-inch jellyroll pan. Cream butter with sugar and beat until light and fluffy. Add mocha almond and beat until combined well. Beat in egg, vanilla and salt. Add flour and beat just until combined. Stir in coconut. Spread mixture evenly in prepared pan. Sprinkle almonds over, pressing them in lightly. Bake for 20-25 minutes, or until a tester comes out clean. Let cool, cut into 24 bars and then the bar on the diagonal, making 48 cookies."
1,"Preheat oven to 450. Lightly grease a 13x9x2 inch baking dish. Melt butter in skillet. Saute celery and onion till tender, about 3 minutes. In large mixing bowl, combine cornbread, bread, celery and onions, sage and black pepper. Stir broth and beaten eggs into cornbread mixture. Blend well. Stir in chopped boiled eggs. Pour into prepared baking dish. Bake 30 minutes or until golden brown."
2,"Preheat oven to 400 degrees. Combine turkey meat, chilies, onion, and soup. If desired, spread tortillas with butter. Cut each tortilla in half and arrange 6 halves over bottom of a 13- x 9-inch baking dish. Spread a third of the turkey mixture over tortillas, top with a third of the cheese. Reapeat layers of tortillas, turkey, and cheese two more times. Cover and bake for 25-30 minutes or until heated throughout and bubbly. Remove from oven and let stand 5 minutes. Cut in squares with sharp knife and use a spatula to remove each serving."
3,"Cook spaghetti according to package instructions. While the spaghetti is cooking, heat a large saut pan over medium heat with olive oil. Saut green peppers. Add tomatoes and herbs once pepper softens. Heat until warmed. Combine pasta and tomato mixture. Sprinkle cheese on top and fold edges of pasta toward the center. Heat until warm. Transfer to plate, stir, and serve."
4,"In a large pot of boiling, salted water cook the pasta to al dente and drain. Return to the pot and melt in the butter. Toss to coat. Whisk together the eggs, milk, hot sauce, salt, pepper, and mustard. Stir into the pasta and add the cheese. Over low heat continue to stir for 3 minutes or until creamy."
5,"Preheat oven to 350 degrees. In a large skillet, cook sausage for 5 minutes. Remove from heat. Add all other ingredients and stir well. Place in a casserole dish and bake, covered, at 325 for 45 minutes."
6,"Heat sandwiches, uncovered, for about 20 minutes or until hot and cheese topping melts and bread is toasted. Spread mixture on 6 slices of bread. Place remaining bread slices, cheese side up, over the chicken filling. Place sandwiches in single layer on large baking sheet. Torefrigerate for later baking, cover with plastic wrap and refrigerate now. Preheat oven to 400 degrees. Heat sandwiches, uncovered, for about 20 minutes or until hot and cheese topping melts and bread is toasted. Heat sandwiches, uncovered, for about 20 minutes or until hot and cheese topping melts and"
7,"In a large skillet, brown chicken on both sides in butter. Combine the teriyaki sauce, water, marmalade, and garlic in a bowl. Pour over chicken. Bring to a boil. Reduce heat. Cover and simmer for 10-15 minutes or until the juices run clear on the chicken. I was thinking of trying this with sugar free marmalade for a more diabetic friendly recipe."
8,"Preheat oven to 375 degrees. In a large mixing bowl, beat butter, brown sugar, sugar, eggs, vanilla, flour, baking soda, salt, water, semi-sweet chocolate chips. Beat in eggs, one at a time, then vanilla. On low speed gradually add flour mixture and mix just until blended. Stir in chocolate chips and walnuts. Drop dough by rounded tablespoonfuls 2 inches apart on ungreased baking sheets. Bake for 9 to 12 minutes. Transfer cookies to cooling racks to cool."
9,"In a 2-quart pitcher combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"In a large, heavy bottomed, skillet place the sugar and water. Bring to a boil over medium-high heat. Add the almonds and cook, stirring constantly, until almost all the water has evaporated. About 5 minutes. Add the almonds and cook, stirring constantly, until the sugar has dried on the almonds. About 2 minutes. Pour onto a large sheet pan and let cool."
11,"In a large skillet, melt butter over medium low heat. Add onions, milk, cheddar cheese, green onions, salt, pepper, jalapeno. Add milk, stirring constantly. When soup gets hot and thick, add the cheese and stir until cheese is melted and soup is smooth. Season with salt and pepper. Shake paprika on top of soup in bowl and serve."
12,Put the marjakeitto in a large bowl and whisk until smooth. Pour the marjakeitto into the bowl of a stand mixer fitted with a paddle attachment and beat until smooth. Pour the
13,"Preheat oven to 450 degrees. If frozen, partially thaw fillets and cut into serving size pieces. Place salmon on a broiler pan coated with cooking spray. Broil for 8 minute or until salmon flakes easily when tested with a fork."
