,result
0,"In a small bowl, combine butter, raspberries, vanilla extract, peaches, sugar, pure vanilla extract, peaches, vanilla ice cream, raspberries and raspberries. Pour mixture into a blender and process for 1 minute or until smooth. Cover and freeze for 3 hours or until almost firm. Transfer to a blender and process again for 30-40 seconds or until slushy. Cover and freeze over night. Remove from freezer just before serving. Using a fork, scrape into 2 dessert dishes."
1,"Heat oven to 375f. In large bowl, stir cookie mix, butter, egg, flour and almond extract until soft dough forms. Fit cookie press with desired template. Fill cookie press with cookie dough. Press cookies onto ungreased cookie sheets. Decorate as desired using colored sugars and sprinkles. Bake 6 to 8 minutes or until set. Cool 1 minute. Remove from cookie sheet to wire rack."
2,"Preheat oven to 450f. Place a large, heavy skillet or roasting pan in the oven to heat. Place the potatoes in a large saucepan and cover with cold salted water. Put on high heat to boil. Once boiling, lower heat and simmer for 5 minutes. Drain the potatoes well, and place on paper towels. Put the flour on a plate. When the potatoes are dry, roll them in the flour to coat. Remove the hot skillet from the oven and add the oil and potatoes. Roast, shaking the pan occasionally until the potatoes are golden brown all over, about 30 minutes. Remove from the oven and add the garlic, sage and butter. Return to the oven for one minute. Season generously with salt and pepper and serve."
3,"Drain sherbet juice and reserve. Combine sherbet juice with sugar and bring to a boil in the microwave. Add orange jello to boiling liquid and let cool. After mixture has cooled, stir in cool whip. In a separate bowl, soften cream cheese with milk. Stir into jello mixture. Add crushed pineapple and blend all together. Put in mold and refrigerate."
4,"Mix eggs, cheese, milk, ziploc bags, ham, diced tomatoes, bacon, green pepper, diced onion. Bake 30 minutes or until eggs are completely cooked. Cool and serve."
5,Cover the bottom of a 9-inch square pan with frozen hash browns. Cover hash browns with sausage. Sprinkle with cheddar cheese. Stir together the remaining ingredients. Pour this mixture over everything. Refrigerate overnight. Bake at 350 degrees f for 30 minutes. Let stand for 30 minutes before cutting into squares and serving.
6,"In a large saucepan over medium-high heat, add the apple wedges. Bring mixture to a boil. Reduce heat and gently boil, uncovered, stirring occasionally until the apple wedges softened, approximately 15 minutes. Transfer sauce to a food processor and puree. Add the cinnamon stick. Let stand several hours before serving."
7,"Heat oil in large skillet over high heat. Add green beans and saute till beans are just crisp but tender, about 5 minutes. In a small bowl stir together soy sauce, minced garlic, honey and ginger. Pour over green beans in skillet and boil until sauce thickens and coats vegetables, about 2 minutes. Serve immediately."
8,"Heat oil in a large skillet over medium-high heat. Add chicken and cook 5 minutes, or until no longer pink, turning occasionally. Stir in reserved marinade and tomatoes with juice. Heat to boiling, reduce heat to low, cover, and simmer 15 minutes, or until a thermometer in thickest portion registers 160 degrees and juices run clear."
9,"Heat the oil in a large skillet over medium heat. Saute the onion and garlic until limp. Add the green pepper. Cook and stir until tender. Drain the tomatoes, reserving juice, and pour them into the skillet. Season with thyme, parsley, cayenne, salt, and pepper. Simmer for 5 minutes over medium heat. Add the frozen okra, and pour in enough of the reserved juice from the tomatoes to cover the bottom of the pan. Cover, and cook for 15 minutes, or until okra is tender."
