,result
0,"Preheat oven to 350 degrees. In a large mixing bowl, cream together the butter and two sugars until well combined. Beat in vanilla pudding mix. Add eggs, one at a time, until well incorporated. Mix in vanilla extract. In another small bowl, mix together flour, baking soda, and salt. Add the dry ingredients to the wet ingredients, mixing until just incorporated. Fold in m&ms and white chocolate chips. Drop tablespoon size cookie dough onto prepared cookie sheet. Bake for 10 minutes, or until just turning golden brown. Cool on cookie sheet for 5 minutes before removing to wire rack to cool completely."
1,"Preheat oven to 425 degrees. Bake for 15 to 30 minutes, or until the sausages and vegetables are cooked through. Serve hot."
2,Preheat oven to 350 degrees f. Spread turkey in a casserole dish. Top with green beans and mushrooms. Spread the turkey in the bottom of a buttered 9x13-inch casserole dish. Spread the soup over the meat and vegetable mixture. Crumble the stuffing and spread evenly over the top. Bake at 350f for 25-30 minutes or until heated through and bubbly.
3,"Heat oil in a large non-stick skillet over medium-high heat. Add chicken, and sprinkle with pepper flakes. Stir fry 3 minutes. Add vegetables and teriyaki sauce. Stir fry 5 minutes or until vegetables are crisp-tender and chicken is thoroughly cooked."
4,"Preheat oven to 350 degrees f. Coat a 2 quart casserole dish with nonstick cooking spray. Cook the macaroni according to package directions. Drain and place in a large bowl. Add the remaining ingredents except for the corn chips. Mix well then pour into a casserol dish and sprinkle with corn chips bake for 30-35 minutes, or until hot and bubbly, and the top is golden."
5,"Preheat oven to 400, grease 2 quart casserole dish. In prepared casserole dish, place chicken, broccoli and cheese. In a separate mixing bowl, blend baking mix, milk, eggs, salt and pepper on high speed until well mixed. Pour into dish over chicken, broccoli and cheese. Bake for 35-40 minutes until knife inserted in center comes out clean. Let cool 5 minutes before serving."
6,"Preheat oven to 350f. Lightly spray a baking sheet with vegetable oil spray and set aside. Bake for 5-7 minutes or until lightly browned. Combine bread crumbs, black pepper and parsley in a shallow pan and set aside. Combine mayonnaise, water and hot pepper sauce in shallow bowl, mixing well. Dip fish in mayonnaise mixture and then dredge in bread crumbs. Place fish on greased baking sheet and bake in oven 17-18 or until lightly browned. Combine mayonnaise"
7,"Place chicken pieces in slow cooker. Cover and cook on high heat for 4 - 6 hours. As slow cooker temperatutres can vary, you may need to cook for more or less time. Chicken pieces will break apart durring cooking. Spoon chicken and sauce over rice."
8,"Preheat oven to 350c. Grease or line cookie tray. Mix together sugar and butter. Add egg yolk and vanilla, mix well. Stir in flour and choc chips. Place teaspoonfuls onto tray and bake for 12 minutes."
9,"In a 2-quart pitcher combine grapefruit juice concentrate, cold water, vodka, lemon juice, sugar, ice cube, grapes, mint leaf. Stir in desired amount of sugar to taste. To serve, pour over ice cubes in glasses. If desired, tie a strip of grapefruit peel and a strip of grapefruit peel into a knot and use as a garnish. Serve at once."
10,"In a small saucepan, bring the water and sugar to a light boil. Cook and stir for 2 mins. Pour into a large container. Add lemon juice, concentrates and extract. Cover and freeze. Remove from freezer 1-2 hours before serving. Just before serving, mash the mixture with a potato masher and stir in lemon-lime soda."
11,Preheat oven to 350 degrees celcius. Add salt and cheese to flour. Add milk and mix well. Spray a 12-cup muffin tin with nonstick spray. Spoon the mixture equally amongst the 12 cups. Bake till browned on the top. Should be 10 to 15 minutes.
12,"In a small saucepan, heat oil and fry strawberries until translucent. Add the strawberry mixture and bring to a boil, reduce heat to low, cover and simmer for 15 minutes stirring occasionally. Puree soup in a blender or food processor. Return to the boil then turn off. Add salt to taste."
13,"Preheat oven to 350f. Mix all ingredients, except salmon, together. Pour a small amount of the mix into the bottom of a baking pan - just enough to lightly cover the bottom. Add the salmon, and pour the remaining mix over top. Bake for about 20 minutes, or until salmon flakes easily with a fork."
14,"Heat olive oil, lemon peel, lemon juice, herbs, and s&p into a large ziplock bag. Add shrimp. Toss gently to coat. Cover, and refrigerate for one hour to marinate. Preheat an outdoor grill for medium-high heat. Remove skewers from the water, pat dry, and spray with nonstick cooking spray. Skewer the shrimp. Grill the shrimp on the grill on both sides until pink and opaque, about 5 minutes per side."
15,"Preheat oven to 400 degrees f. In a food processor, combine the butter, cheese and butter. Process until the mixture is smooth. Add the scallions and pulse until combined. Season with salt and pepper, to taste. Spread the butter mixture on the cut sides of the bread. Place on a baking sheet and bake for 10 to 12 minutes until golden. Remove from oven and serve immediately."
16,"Preheat oven to 400f place the pork loins side by side, fat side up in a large heavy roasting pan. Insert an ovenproof meat thermometer in the center of one of the roast. Roast the pork for 30 minutes."
17,"Preheat oven to 400c. Mix all ingredients in lg bowl. Mix well. Pour into crust. Bake for 15 minutes. Reduce heat to 350 and bake another 40 min, or until a knife inserted in the center comes out clean. Garnish with pecans if desired."
18,"Preheat oven to 350f. Combine butter, brown sugar, vanilla, flour, graham cracker crumbs, mini marshmallows, semi-sweet chocolate chips, walnuts, flaked coconut, semisweet chocolate, sweetened condensed milk, white chocolatepreparation:Preheat oven to 350f. Combine butter, brown sugar, vanilla, flour, graham cracker crumbs, mini marshmallows, semi-sweet chocolate chips, walnuts, flaked coconut, semisweet chocolate, sweetened condensed milk, white chocolatepreparation:Preheat oven"
