response,target_recipe
In a large stockpot cook cabbage and potatoes in chicken broth until tender. Add ham and half-and-half and bring to a boil. Serve in bowls.,277643
Preheat oven to 375 degrees. Peel and core apples. Divide batter among 3 greased 8-inch round baking pans. Cut each apple into 8 wedges. Arrange apple wedges over batter in each pan. Sprinkle with cinnamon. Drizzle with caramels. Drizzle with melted margarine. Sprinkle with nuts. Bake 35-45 minutes. Cool. Serve warm. Makes 12 servings.,54179
"Place lobster tails in a shallow dish. Add enough water to cover tails. Place dish in refrigerator until ready to grill. Remove tails from water, pat dry and let stand at room temperature for 15 minutes. Prepare grill for direct cooking over medium heat (350 - 450 degrees). Brush the lobster tails lightly with olive oil. Grill the tails until opaque throughout, 8 to 12 minutes per side. Remove from the grill and drizzle each lobster tail with 1/2 tablespoon of lemon juice. Sprinkle lightly with paprika and serve immediately.",168492
Combine sugar and water and bring to the boil. Simmer 5 minutes to make a syrup. Allow to cool. Combine berry puree with lemon juice and syrup. Place in a metal bowl or tray. Freeze till set.,95061
"In a heavy saucepan over medium heat, stir together first 5 ingredients until mixture boils and a candy thermometer reads 300 degrees f (soft ball stage) or until mixture is very thick. Remove from heat and stir in nuts until well coated. Pour onto wax paper in an 8x8-inch pan. Let stand 15 minutes or until cool. Store in an airtight container at room temperature for 1 week or in the refrigerator for 1 month. Makes 3 pounds.",44739
"On one slice of bread, spread sour cream and mustard. Sprinkle with red onion and fresh thyme. Spread the other slice of bread with sour cream and mustard. Arrange the turkey and tomato slices on the bottom slice of bread. Top with the second slice of bread. Place in a medium nonstick skillet and cook over medium heat for 4 minutes or until the bottom is crisp and the cheese is melted. Turn and cook for 4 minutes more or until the top is crisp and the cheese is melted. Cut the sandwich in half and serve warm.",239695
"In a large stockpot over medium heat, saut the onion, carrots, celery, and garlic in the butter until tender. Add the parsley, cloves, and thyme. Stir in the chicken pieces. Add the water, cover and bring to a boil. Reduce the heat to low. Cover and simmer for 1 1/2 hours. Remove the thyme sprigs. Add the rice. Cover and simmer over low heat for 20 minutes more. Discard the cloves. Season the soup to taste. Serve the soup topped with the parsley.",260011
Steam corn kernels and mash. Mix with other ingredients and fry as pancakes or cakes in hot fat. Serve with salsa.,462380
Warm the tortillas in a microwave oven. Put in enchilada sauce. Add green onion. Lay the olives on top of the sauce. Sprinkle with the cheddar cheese. Roll the tortilla up. Put in the oven for about 5 minutes. Serve with the enchilada sauce.,123197
"Combine creamy peanut butter, milk, and vanilla extract in a medium saucepan over medium heat. Cook until smooth. Add cooling mixture to cream cheese. Fold in whipped topping. Divide into crusts. Sprinkle with oreo pieces. Chill until ready to serve. Top with ice cream topping. Serve.",414063
"Cut off the stems of the cherries, leaving the stems attached to the pits. Put the cherries in a saucepan with the water. Cook on high heat until the water starts bubbling around the sides of the pan. Then reduce the heat to medium and cook for 15-20 minutes, until the skins of the cherries begin to peel away from the fruit. Stir occasionally during cooking so that the fruit does not burn on the bottom of the pan. Add the sugar, stirring constantly until the sugar has dissolved completely. Add the sure-jell, stirring constantly until it is completely dissolved into the mixture. Add the butter, stirring constantly until the butter is melted. Bring the mixture back to a boil, stirring constantly until the mixture thickens. Add the almond extract and stir until blended into the mixture. Pour the hot jam into hot sterilized jars. Remove the stems from the pits and put the stems in the jam. Leave 1/4-inch head space at the top of the jar before placing the lids on the jars. Process the jars in a boiling-water",32612
Prepare vegetables as directed. In a bowl combine all ingredients except vegetables. Spread vegetable mixture evenly in a 13x9 baking dish. Sprinkle chickpea mixture evenly over vegetables. Bake at 350 for 30 minutes.,315143
"In saucepan, heat olive oil over medium heat. Add butter to hot oil, stir until butter melts. Add herbs, thyme, garlic cloves and dried onion flakes. Saute 2 minutes. Add wine, stirring frequently until mixture comes to a boil. Remove from heat, add worcestershire sauce and stir well. Add mushrooms and stir until heated through. Serve over steaks or hamburgers.",225283
Bring milk to boil in saucepan over medium high heat. Add coffee. Stir 1 min. Remove from heat. Stir in pudding mix until dissolved. Add vanilla. Fold in whipped topping. Spoon over cake layers. Sprinkle with chocolate and cinnamon. Refrigerate at least 2 hrs. or until firm. Store in refrigerator. Serves 6 to 8.,63579
"In a small skillet over medium heat, melt butter. Cook chicken for 5 minutes or until cooked through. Slice bread lengthwise into 4 equal pieces. Spread one side of each piece with pesto. Top each piece of bread with 3 slices chicken and 2 slices of cheese. Broil for 4 minutes or until cheese is melted and bread is toasted. Top each piece of bread with arugula and spread remaining side of bread with pesto. Close sandwiches with remaining piece of bread. Makes 4 sandwiches.",233653
